"PUBCHEM_EXT_DATASOURCE_SMILES","Activity"
"CC1=C(C=CC=C1C2=CC=CC=C2)COC3=NC(=C(C=C3)CNCCNC(=O)C)OC",1
"CC1=C(C=CC=C1C2=CC=CC=C2)COC3=C(C=C(C=C3)CN4CCCCC4C(=O)O)Br",1
"CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)COC4=C(C=C(C(=C4)OCC5=CC(=CC=C5)C#N)CN6C[C@@H](C[C@@H]6C(=O)O)O)Cl",1
"CC1=C(C=CC=C1C2=CC=CC=C2)COC3=CC(=C(C(=C3)OC)CN4CCCC[C@H]4C(=O)O)OC",1
"CC1=C(C=CC=C1C2=CC3=C(C=C2)OCCO3)COC4=C(C=C(C(=C4)F)CNC[C@H](CC(=O)O)O)F",1
"C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=C(C6=C(C=C5)OCCO6)F",1
"C1CC2=C(C=CC=C2[C@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=CC=CC=C5F",1
"C[C@H]([C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl)O",1
"C[C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl",1
"C1CC2=C(C=CC=C2[C@@H]1OC3=C(C=C(C(=C3)OCC4=CC(=CN=C4)C#N)CN[C@@H](CO)C(=O)O)Cl)C5=CC=CC=C5F",1
"C[C@@H]([C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl)O",1
"CC(C)C[C@@H](C(=O)O)NCC1=CC(=C(C=C1OCC2=CC(=CN=C2)C#N)O[C@H]3CCC4=C(C=CC=C34)C5=CC=CC=C5F)Cl",1
"CCOC1=CC(=C(C=C1CN[C@@H](C)C(=O)O)Cl)O[C@H]2CCC3=C(C=CC=C23)C4=CC=CC=C4F",1
"CCOC1=CC(=C(C=C1CN[C@H](CO)C(=O)O)Cl)O[C@H]2CCC3=C(C=CC=C23)C4=CC=CC=C4F",1
