"smiles","labels"
"CC(C)(C)OC(=O)NC1=CC=CN(C1=O)C(CC2CC2)C(=O)NC(CC3CCNC3=O)C(=O)C(=O)NCC4=CC=CC=C4",1
"CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)CO)NC(=O)C2=CC3=C(N2)C=CC=C3OC",1
"CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)[O-])NC(=O)OCC2=CC=CC=C2",1
"CC1=C(C(=O)OC(C1)C(C)C2(CCC3C2(CCC4C3C5C(O5)C6(C4(C(=O)C=CC6)C)O)C)O)C",1
"C1=CC(=C2C=CNC2=C1)C(=O)OC3=CC(=CN=C3)Cl",1
"C1CCC(CC1)CC(C(=O)NC(CC2CCNC2=O)C(=O)C(=O)NCC3=CC=CC=C3)NC(=O)C=CC4=CC=CC=C4",1
"CC(C)CC(C(=O)NC(CC1CCNC1=O)C#N)NC(=O)C2=CC3=C(N2)C=CC=C3OC",1
"COC1(CCOC2=C1C=C(C=C2)Cl)C(=O)NC3=CN=CC4=CC=CC=C43",1
"C1CC1CC(C(=O)NC(CC2CCNC2=O)C#N)N3C=CC4=C(C3=O)N=CN4",0
"C1CC2=CC=C(C(=O)N2C1C(=O)NC(CC3CCNC3=O)C#N)NCC(=O)OC4=CC=CC=C4",0
"C1=CC=C2C(=C1)C(=O)N([Se]2)C3=CC=C(C=C3)[N+](=O)[O-]",1
"CC(C(C(=O)NC(CC1CCCCC1)C(=O)NC(CC2CCNC2=O)C=O)NC(=O)OCC3=CC=CC=C3)OC(C)(C)C",1
"C1C2=CC=CC=C2C(=O)N1C(C3=CC=CC=C3)C(=O)NCC4=CC=CS4",0
"CC(C)CC(C(=O)NC(CC1CCNC1=O)C(=O)COP(=O)(O)O)NC(=O)C2=CC3=C(N2)C=CC=C3OC",1
"C1CN(CCN1C(=O)CCl)S(=O)(=O)C2=CSC=C2",1
"C1CNC(=O)CC1NC(=O)C2CCOC3=C2C=C(C=C3)Cl",0
"CN1CCCC12CCN(C2=O)C(CC3CC3)C(=O)NC(CC4CCNC4=O)C#N",0
"CN1C=C2C=C(C(=CC2=N1)Cl)NC3=NC(=O)N(C(=O)N3CC4=CC(=C(C=C4F)F)F)CC5=NN(C=N5)C",1
"C1=CN(C(=O)N=C1NO)C2C(C(C(O2)CO)O)O",1
"C1CN(CCN1C(C2=CC=CC=C2)C3=CC=CC=C3)C(=O)CCl",1
"C1=CC(=NC=C1C(F)(F)F)N",1
"CC1=C(N2C=CC=CC2=C1C(=O)CCl)C(=O)C3=CC=C(C=C3)F",1
"CCN(C1=CC=CC=C1)S(=O)(=O)C2=CC(=C(C=C2)OC)NC(=O)CCl",1
"C1=CC=C2C(=C1)N=NN2CC(=O)NC3=CC(=CC=C3)Cl",0
"CC1=CC(=C(N1CC2COC3=CC=CC=C3O2)C)C(=O)CCl",1
"C1CN(CCN1C(=O)CCl)S(=O)(=O)C2=CC=CS2",1
"CN(CC1=CC(=CC=C1)Cl)C(=O)CN2C3=CC=CC=C3N=N2",0
"CC(C)CC(C(=O)NC(CC1CCNC1=O)C=O)NC(=O)OCC2=CC=CC=C2",1
"C1=CC(=CC(=C1)Cl)CC(=O)NC2=CNN=C2",0
"C1=CC=C2C(=C1)C(=NN2)NC(=O)CC3=CC(=CC=C3)Cl",0
"CCN1CC(C2=C(C1)C3=CC(=C(C=C3C4=C2C=CC(=C4)OC)OC)OC)O",1
"COC1=CC=CC=C1N2C(=O)C3=CC=CC=C3[Se]2",1
"C1=CC(=CC(=C1)Cl)CC(=O)NC2=CN=CC=C2",0
"CC(C)CC(C(=O)NC(CC1CCNC1=O)C(O)S(=O)(=O)O)NC(=O)OCC2=CC=CC=C2",1
"C1=CC=C(C=C1)NC(=O)CC2=CN=CC3=CC=CC=C32",0
"C1=CC=C2C(=C1)C=NC=C2CC(=O)NC3=CC=CC(=C3)C#N",0
"CC(C)C1=C(C=NC=C1)NC(=O)CC2=CC(=CC=C2)Cl",0
"C1CN(CCN1CC2=CC=CC=C2CCS(=O)(=O)N)C(=O)CCl",1
"CCNC1=C(C=C(C=N1)C#N)CN2CCN(CC2)C(=O)CCl",1
"CS(=O)(=O)N1CCC2=C(C1)C=C(C=C2)CN3CCN(CC3)C(=O)CCl",0
"C1CCC(CC1)C(C2=CC=CC=C2)N3CCN(CC3)C(=O)CCl",1
"C1C(NC1=O)OC2=CC(=CC(=C2)CC(=O)NN3C=NC4=CC=CC=C43)Cl",0
"C1C(NC1=O)OC2=CC(=CC(=C2)CC(=O)NC3=CN=CC4=CC=CC=C43)Cl",1
"CC1CCNC(=O)C1NC(=O)CC2=CC(=CC=C2)Cl",0
"C1CC1N2C=NN=C2NC(=O)C3CCS(=O)(=O)C4=CC=CC=C34",0
"C1COC2=C(C1C(=O)NC3=CN=CC4=CC=CC=C43)C=C(C=C2)Cl",1
"C1=CC=C(C=C1)C2=C(C=NC=C2)NC(=O)CC3=CC(=CC=C3)Cl",0
"C1=CC=C2C(=C1)C(C(=O)N2)NC(=O)CC3=CC(=CC=C3)Cl",0
"CC1(CCNC1=O)NC(=O)CC2=CC(=CC=C2)Cl",0
"CCC(=O)NC1=CC=C(C=C1)N(C)C(=O)CN2C3=CC=CC=C3N=N2",0
"COC1=CC2=C(C=NC=C2C=C1)NC(=O)CC3=CC(=CC=C3)Cl",1
"CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)C3=C(N(N=C3)C)C(F)F",0
"CC1=C(C(=C(C=C1)C2=CC(=CC(=C2)CC(=O)NC3=C(C=CN=C3)C)Cl)F)F",0
"CCC1=C(C=CC(=C1)F)C2=CC(=CC(=C2)CC(=O)NC3=C(C=CN=C3)C)Cl",0
"CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)C3=C(C=C(C=C3)C(=O)OC)OC",0
"CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)C3=C(C=C(C=C3)S(=O)(=O)C)Cl",0
"CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)C3=CC=C(C=C3)C4CC4(F)F",1
"C1CC1C2=C(C=NC=C2)NC(=O)CC3=CC(=CC=C3)Cl",1
"C1=CC(=CC(=C1)Cl)CC(=O)NC2=C3C(=CN=C2)C=CC=N3",1
"C1=CC(=CC(=C1)Cl)CC(=O)NC2=C3C=CN=CC3=CN=C2",1
"CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)S(=O)(=O)N",0
"CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)CNC(=O)C",0
"CCOC(=O)C1=CC(=NN1)C2=CC(=CC(=C2)CC(=O)NC3=C(C=CN=C3)C)Cl",0
"CC1=C(C=NC=C1)NC(=O)CC2=CC(=CC(=C2)Cl)C=C(C3=CC=CC=C3)C(F)(F)F",0
