Rank,SMILES,Score
1,*OC,0.634557
2,*Cl,0.575418
3,*O,0.567357
4,*OC=C,0.479954
5,*OCC,0.478328
6,*OCF,0.460608
7,*CO,0.426189
8,*OCCO,0.415680
9,*OCC=C,0.402625
10,*C,0.401528
11,*OCCC,0.397456
12,*OCOC,0.396305
13,*OC(C)C,0.395207
14,*OC=C=C,0.392844
15,*OC=CC,0.392801
16,*OC(F)F,0.387635
17,*OCCN,0.383446
18,*OCC#N,0.381333
19,*OCCF,0.380576
20,*OCC#C,0.376582
21,*OC(C)O,0.375088
22,*OCCCl,0.371394
23,*OC(N)O,0.367372
24,*OC(=O)O,0.366342
25,*OCCCC=O,0.361731
26,*OCCCO,0.359781
27,*OC(C)=O,0.356175
28,*OC(N)=O,0.348031
29,*OCCCC,0.346705
30,*OCCC=C,0.345945
31,*OC(C)=S,0.345092
32,*OCC(C)C,0.345037
33,*OCCOC,0.343853
34,*OC(C)(C)C,0.343416
35,*OC(F)(F)F,0.341934
36,*OCC=C=C,0.341357
37,*ON,0.340475
38,*COC,0.333968
39,*OCC#CC,0.332028
40,*C(O)O,0.331020
41,*OCC(F)F,0.330132
42,*OCCCN,0.330008
43,*OCC=CCl,0.329565
44,*OO,0.329146
45,*OC(C)CC,0.325781
46,*OCC(=C)C,0.324237
47,*C(O)C#C,0.323003
48,*OCCCCO,0.322941
49,*OCC(C)O,0.320765
50,*OCCC#C,0.320500
51,*OC(C)CO,0.320182
52,*OC1CC1,0.319910
53,*OCC(C)N,0.313686
54,*CON,0.313088
55,*CCO,0.313001
56,*OCCCCC,0.312545
57,*C(C)O,0.312317
58,*OCC(=O)O,0.310208
59,*OCCCC(=O)O,0.309556
60,*CC#C,0.309359
61,*OCC(C)(C)C,0.309068
62,*OCCOCC,0.308535
63,*OC(=O)C=C,0.307130
64,*OCCCC(C)=O,0.306738
65,*OCC=C(C)C,0.305985
66,*C(=O)O,0.305660
67,*OCCCOC,0.304933
68,*OCCC(C)C,0.301686
69,*OCC(N)=O,0.299416
70,*OC(CC)CC,0.297433
71,*OC[Si](C)(C)C,0.297243
72,*OC(=O)CC,0.296934
73,*C(N)O,0.296269
74,*OCC(F)(F)F,0.296073
75,*OC(=O)CN,0.293001
76,*OCCN(C)C,0.292763
77,*OCCCC#N,0.291941
78,*OC(CO)CO,0.291049
79,*OCCOCCO,0.290044
80,*OCCCCCC,0.286809
81,*OCC#CCC,0.285854
82,*OCCC(=C)C,0.285826
83,*OCC#CCN,0.284837
84,*OCC(O)CO,0.283348
85,*C=C,0.280316
86,*OC(C)(C)C=C,0.279955
87,*OC(F)(F)Cl,0.278433
88,*OCC1CC1,0.276801
89,*OCC(=O)CO,0.276324
90,*OCCSC#N,0.275617
91,*OCCC(=O)O,0.274953
92,*COCC,0.271991
93,*OCCCCCN,0.269648
94,*OCC(C)(C)O,0.269459
95,*CC,0.269374
96,*C=CCO,0.269272
97,*C(O)C=C,0.268391
98,*CC#CC,0.268202
99,*OC(C)C(C)O,0.267616
100,*OCC=C(C)CO,0.267053
