Rank,SMILES,Score
1,*CCC,0.842488
2,*CC,0.835608
3,*C(C)C,0.815875
4,*CCCC,0.784177
5,*CCC=O,0.779685
6,*C(C)CC,0.758307
7,*CC(C)C,0.747277
8,*CC=O,0.733122
9,*CCCO,0.732970
10,*C(=O)CC,0.732793
11,*C(C)(C)C,0.724647
12,*C(C)=O,0.721588
13,*C1CC1,0.717217
14,*CCCCC,0.715500
15,*CCCC=O,0.714128
16,*CCCN,0.712654
17,*CC(C)=O,0.707229
18,*CCO,0.693149
19,*C(CC)CC,0.692422
20,*CCCCO,0.688377
21,*CC(C)N,0.688020
22,*CCN,0.683431
23,*CC(C)O,0.682617
24,*[C+](C)CO,0.681624
25,*C(C)CO,0.681624
26,*C(=O)CCC,0.679984
27,*C(C)CCC,0.679609
28,*CCC(C)C,0.677458
29,*CCC(=O)O,0.674040
30,*CCS,0.670187
31,*CCC(C)=O,0.668629
32,*C1CCC1,0.666900
33,*C(O)CC,0.665975
34,*CCCCC=O,0.665513
35,*CCCCN,0.665328
36,*C(=O)CC=O,0.664833
37,*CC(C)(C)C,0.664120
38,*C(C)CN,0.662597
39,*C(=O)C(C)C,0.655786
40,*CCCCCC,0.654488
41,*CCC=C,0.653791
42,*CC(C)CC,0.653483
43,*C(=O)CCN,0.651825
44,*CCCS,0.648710
45,*C(N)CC,0.647433
46,*C(C)(C)CC,0.646179
47,*C(C)C(C)C,0.645794
48,*C(CC)CO,0.640774
49,*CCCCCO,0.640754
50,*C(C)O,0.640378
51,*C(O)CC=O,0.639981
52,*C(C)CCN,0.639582
53,*CC(=O)CC,0.639400
54,*CC(C)CO,0.637555
55,*CCC(N)=O,0.636314
56,*CCCF,0.635837
57,*CCCCl,0.635223
58,*CCC#N,0.633408
59,*CCCC(=O)O,0.632761
60,*C(=O)CCCC,0.632547
61,*CCC#C,0.631103
62,*C(C)(C)O,0.630980
63,*CCCBr,0.629965
64,*CC(=O)O,0.628547
65,*CCCNC,0.628480
66,*C(C)N,0.627897
67,*C(=O)CO,0.627333
68,*CC=C,0.625579
69,*C(CO)CO,0.624384
70,*CC(=C)C,0.623833
71,*CC1CC1,0.623316
72,*CCCC(C)C,0.622664
73,*C(=O)CN,0.622535
74,*CC(O)CC,0.622188
75,*CCCCCC=O,0.621594
76,*C(C)C(C)=O,0.621540
77,*CCCOC,0.621362
78,*CC(=O)CO,0.621105
79,*C(O)CCC,0.618981
80,*C(=O)C(C)N,0.617772
81,*C(C)C(=O)O,0.615681
82,*CCNC,0.615650
83,*C(=O)CCCN,0.615003
84,*CCCCCN,0.614239
85,*C(=O)C=O,0.613888
86,*CCCC=C,0.613852
87,*C(C)CS,0.613542
88,*CCC(O)O,0.613057
89,*C(C)CCCO,0.612104
90,*C(C)C=C,0.610514
91,*CCCC#N,0.610394
92,*C(=O)C(C)O,0.609428
93,*CCCC(C)=O,0.609391
94,*CC(N)CO,0.609240
95,*C(=O)CS,0.608901
96,*C(C)CC(=O)O,0.608498
97,*CCCCS,0.608427
98,*C(=O)CC(C)C,0.607596
99,*C(=O)CCS,0.605603
100,*C(C)C(C)O,0.604825
